Brand Name,Website,Logo Status,Logo Path,Message
Garage,garageclothing.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Simons,simons.ca,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
SMYTHE,smythecollection.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Aritizia's Auxiliary,aritzia.com/auxiliary,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Community,aritzia.com/community,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Scanlan Theodore,scanlantheo dore.com,MISSING,,Error: URL can't contain control characters. '/scanlanthe
Camilla and Marc,camillaandmarc.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Bec + Bridge,becandbridge.com.au,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Alice McCall,alicemccall.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Sir The Label,sirthelabel.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Significant Other,significantother.com.au,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Shona Joy,shonajoy.com.au,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Sass & Bide,sassandbide.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Zimmermann,zimmermannwear.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Bassike,bassike.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Aje,ajeworld.com.au,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Dion Lee,dionlee.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Hansen & Gretel,hansenandgretel.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Matteau,matteau.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Esse Studios,essestudios.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Paris Georgia,parisgeorgia.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Third Form,thirdform.com.au,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
The Upside,theupsidesport.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
P.E Nation,pe-nation.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Double Rainbouu,doublerainbouu.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Rowie,rowie.com.au,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Rue Stiic,ruestiic.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Mara & Mine,maraandmine.com.au,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Dissh,dissh.com.au,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Stelly,stellyclothing.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Runaway The Label,runawaythelabel.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Hello Molly,hellomolly.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Meshki,meshki.com.au,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Sabina Musayev,sabinamusayev.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Cinq à Sept,cinqasept.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
A.L.C.,alcltd.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Ulla Johnson,ullajohnson.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Jonathan Simkhai,jonathansimkhai.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Rebecca Taylor,rebeccataylor.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Parker NY,parkern y.com,MISSING,,Error: URL can't contain control characters. '/parkern y.
Yumi Kim,yumikim.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Joie,joie.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Vince,vince.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Splendid,splendid.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
James Perse,jamesperse.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
